Date,__,____,____,temp,____,___(mm),__,__,______(hPa),_____(℃),____(10%),____(hr),_____(�B),____,____,______
2012.01,-2.8,1.3,8.4,-6.3,-12.2,6.7,49,12,"1,026.10",-12.8,3.6,190.5,6.2,2.5,7.5,12.6
2012.02,-2,3,12.1,-6,-17.1,0.8,43,11,"1,024.00",-13.8,3.4,224.9,0.3,2.9,8.1,12.5
2012.03,5.1,9.5,16.2,1.5,-5.7,47.4,52,9,"1,019.50",-5.1,5.2,191.8,-,3.5,10.2,18
2012.04,12.3,17.9,29.4,7.8,0.6,157,54,9,"1,013.00",1.9,4.6,212.5,-,3.4,12,20
2012.05,19.7,25.1,29.3,15.4,12,8.2,48,11,"1,011.00",7.4,4.3,251.3,-,2.7,8.6,15.7
2012.06,24.1,29.7,33.5,20,16.3,91.9,54,21,"1,007.00",13.5,5.4,232,-,2.8,9.1,19.2
2012.07,25.4,29,33.2,22.4,18.5,448.9,74,38,"1,005.60",20.1,7.4,144,-,2.7,7.7,15.2
2012.08,27.1,30.9,36.7,23.9,18.7,464.9,68,31,"1,008.20",20.2,6.8,158.7,-,3,13.7,24
2012.09,21,25,29.5,17.4,12,212,65,26,"1,013.50",13.6,5.6,190.8,-,2.3,11.5,20.4
2012.1,15.3,20.5,26,11,2.8,99.3,58,14,"1,018.20",6.4,3.6,235.4,-,2.3,7.2,12.6
2012.11,5.5,9.5,15.7,1.8,-3,67.8,57,15,"1,019.30",-2.9,4.5,181.1,-,2.7,9.3,19
2012.12,-4.1,-0.5,8.3,-7.4,-14.5,41.4,57,17,"1,024.60",-11.8,3.5,193.6,7.8,2.7,8.8,14.3
2013.01,-3.4,0.3,11.5,-6.6,-16.4,22.1,57,21,"1,026.40",-11.1,4.3,167.7,4.9,2.7,8.2,13.5
2013.02,-1.2,2.8,13.9,-4.9,-15.8,74.1,54,15,"1,025.10",-10.3,4.7,187.2,9,2.9,8.4,14.8
2013.03,5.1,10.8,23.8,0.7,-4.4,27.3,49,8,"1,017.90",-5.7,3.3,256.3,-,3,8.8,15.4
2013.04,10,15,21.6,5.7,1.3,71.7,54,12,"1,012.90",-0.1,5,213.2,-,3.4,9.9,17.7
2013.05,18.2,23.6,31.8,13.7,7.9,132,58,11,"1,011.50",8.6,4.7,238.1,-,2.9,8.5,11.6
2013.06,24.4,29.2,32.6,20.5,16.3,28.3,60,15,"1,007.70",15.4,5.4,224,-,2.2,6.2,10.4
2013.07,25.5,28.3,31.3,23.4,20.5,676.2,79,40,"1,005.00",21.4,8.5,101,-,3.4,10.9,18
2013.08,27.7,31.1,33.9,24.8,21.1,148.6,69,28,"1,006.50",21.1,6.2,217.9,-,2.8,9.9,15.6
2013.09,21.8,25.9,31.1,18,10.9,138.5,63,16,"1,014.90",13.6,5.5,191,-,2.2,6.2,11
2013.1,15.8,21.2,28.1,10.9,4.3,13.5,59,19,"1,020.20",7,2.9,249.9,-,2.5,8.5,14.8
2013.11,6.2,10.7,20.7,2.1,-6.4,46.8,58,18,"1,020.20",-2.1,3.9,188,-,2.7,12.6,20
2013.12,-0.2,3.5,11,-3.5,-9.8,24.7,60,20,"1,022.20",-7.3,4,184.4,4.4,2.4,8.3,13.2
2014.01,-0.7,3.5,8.2,-4.9,-10.5,13,50,13,"1,025.20",-10.7,3.4,184.4,5.3,2.4,7.8,14.8
2014.02,1.9,6.6,16.4,-1.8,-10.5,16.2,52,16,"1,025.30",-7.7,4,163.9,5.8,2.7,7.4,12.1
2014.03,7.9,13.1,23.8,3.5,-4.6,7.2,60,16,"1,019.60",-0.2,3.9,214.7,1.9,3,9.1,15.5
2014.04,14,19.6,26.2,9.4,2.3,31,60,15,"1,017.00",5.1,4.7,213.2,-,2.8,9.3,18.4
2014.05,18.9,25.3,33.3,13.8,6.8,63,59,18,"1,010.40",9.8,3.2,304,-,3.2,11.1,16.3
2014.06,23.1,27.8,31.1,19.7,17.3,98.1,73,32,"1,006.20",17.5,6.7,184.9,-,2.6,8.3,14.2
2014.07,26.1,30.6,34.4,22.9,19.1,207.9,74,27,"1,006.90",20.7,6.8,172.7,-,2.8,10.8,18.2
2014.08,25.2,29,35.8,22.1,18.3,172.8,77,32,"1,008.00",20.4,7.1,150.7,-,2.4,9.3,15.7
2014.09,22.1,27,31.3,18,14.9,88.1,69,22,"1,013.20",15.3,4.9,214.3,-,2.1,7.1,11.7
2014.1,15.6,21.4,29,10.7,2.7,52.2,63,15,"1,019.70",7.8,3.3,239.8,-,2.4,9,17.7
2014.11,9,13.8,22.9,4.9,-3.1,41.5,61,18,"1,021.50",1.1,4.3,194.1,-,2.5,8.7,16.6
2014.12,-2.9,1.5,7.9,-6.7,-13.2,17.9,56,21,"1,024.50",-10.9,3.4,195.6,3.5,2.8,11.1,19.3
2015.01,-0.9,3.6,9,-4.8,-9.8,11.3,56,22,"1,024.70",-9,3.9,193.3,5.1,2.6,7.7,13
2015.02,1,6,13,-2.9,-13,22.7,59,17,"1,022.20",-6.8,4.5,180,0.3,2.9,8.5,14.5
2015.03,6.3,12.4,21.9,1,-6.9,9.6,45,9,"1,021.30",-6,2.8,270.8,-,3.1,9.1,16.3
2015.04,13.3,18.8,28.3,8.4,3.5,80.5,55,11,"1,015.80",2.9,5,216,-,3.1,10.4,16.4
2015.05,18.9,24.9,32.2,13.6,8.3,28.9,53,12,"1,009.40",7.5,4.1,290.4,-,3,11.1,17.2
2015.06,23.6,29.5,34.9,18.9,15.6,99,60,13,"1,006.70",14.4,5.6,258.1,-,2.5,7.8,14.4
2015.07,25.8,30,36,22.6,18.2,226,71,28,"1,006.50",19.6,7,176.1,-,2.8,8,14.4
2015.08,26.3,30.8,34.4,22.8,18.9,72.9,70,29,"1,008.20",19.9,5.6,207,-,2.4,8.1,14.2
2015.09,22.4,28.1,31,17.5,14.2,26,56,15,"1,014.00",12.4,3.8,262.1,-,2.3,6.7,12.7
2015.1,15.5,21.2,26.6,10.8,1.1,81.5,61,17,"1,018.40",7.1,2.8,239.7,-,2.3,8.6,16
2015.11,8.9,12.7,19.8,5.9,-7.3,104.6,74,23,"1,023.40",4,6.6,109,-,2.7,7.7,13.2
2015.12,1.6,6,12.2,-2.1,-9.5,29.1,60,19,"1,025.60",-5.9,4.1,177.8,6.5,2.3,8,16.8
2016.01,-3.2,1.1,9.5,-6.8,-18,1,53,17,"1,025.50",-12,4,196.1,0.5,2.5,9,15.1
2016.02,0.2,5.1,14.4,-4.1,-10,47.6,52,16,"1,024.20",-9.4,3.7,195.2,5,2.8,7.6,14.4
2016.03,7,12.6,21.4,2.4,-7.5,40.5,51,15,"1,021.50",-3.5,3.6,253.7,-,2.4,7.1,12.7
2016.04,14.1,20.3,29.6,9.1,5.1,76.8,55,13,"1,013.30",3.6,4.8,219.5,-,2.4,8,16.7
2016.05,19.6,25.7,31.9,14.1,8.9,160.5,56,10,"1,011.30",9.1,4.6,280.1,-,2.4,8.7,18
2016.06,23.6,28.7,32.2,19.5,17.1,54.4,63,21,"1,007.40",15.5,5.3,229.7,-,2.1,6.8,10.5
2016.07,26.2,29.8,34.1,23.3,19.8,358.2,73,37,"1,007.50",20.6,7.2,160.4,-,2.1,6.1,11.2
2016.08,28,32.6,36.6,24.5,16.1,67.1,64,27,"1,005.60",20,4.6,236.1,-,2.1,7.3,13.6
2016.09,23.1,27.9,31.1,19.3,14.3,33,65,26,"1,013.20",15.5,5.8,191.6,-,2,8.1,15.7
2016.1,16.1,21.3,29,11.6,0.7,74.8,62,13,"1,019.20",8.2,5.3,195.7,-,2.1,6.3,12.8
2016.11,6.8,11.6,18.6,2.8,-6.2,16.7,57,19,"1,023.20",-1.8,4.7,173.3,0.8,2.2,6.1,9.8
2016.12,1.2,5.8,13.6,-2.7,-9.8,61.1,59,16,"1,025.00",-6.4,4.7,166.4,1,2.2,7.2,12.9
2017.01,-1.8,2.9,11.4,-5.8,-12.6,14.9,55,17,"1,025.60",-10.3,3.5,209,6.6,2.3,7,13.1
2017.02,-0.2,4.8,12.3,-4.7,-9.3,11.1,54,18,"1,023.50",-9.2,2.8,210,-,2.5,7.8,12.3
2017.03,6.3,12.3,18.9,1.7,-5.3,7.9,48,15,"1,019.60",-4.9,3.9,255.2,-,2.4,8.5,17.9
2017.04,13.9,20,27.8,9.1,3.1,61.6,52,10,"1,012.80",2.9,4.4,259.7,-,2.6,8.1,15.6
2017.05,19.5,25.4,30.3,14.4,10,16.1,52,7,"1,012.00",8.3,3.9,301.5,-,2.4,8.5,15.7
2017.06,23.3,28.8,34.1,18.7,14.5,66.6,57,14,"1,008.20",13.1,4.7,285.2,-,2.4,6.4,12.1
2017.07,26.9,30.4,35.4,24.3,21.9,621,77,38,"1,007.20",22.2,7.9,123.1,-,2,7.3,13.3
2017.08,25.9,29.7,35.3,22.9,16.1,297,71,19,"1,007.40",19.7,7,166.2,-,2.3,7.7,15.3
2017.09,22.1,27.4,31.4,17.5,11.2,35,61,20,"1,013.00",13.6,4.2,233.7,-,2,6.8,12.1
2017.1,16.4,22.2,29.4,11.6,2.5,26.5,56,16,"1,020.90",7,4.5,222.7,-,1.9,7.6,12.9
2017.11,5.6,10.5,18.4,1.3,-6.6,40.7,54,13,"1,023.00",-3.9,4.2,163.9,1.5,2.1,6.7,13
2017.12,-1.9,2.2,8.7,-5.7,-12.3,34.8,56,14,"1,026.00",-10.3,3.9,176.1,5.1,1.8,6.7,14.2
2018.01,-4,0.1,8.7,-7.3,-17.8,8.5,48,16,"1,024.60",-13.9,4.3,186.7,3.5,1.9,7.2,12.2
